Band,Sp. Num.,Species Game Birds::SPEC,Species Game Birds::Species,Replaced Band Translated,Replaced Band Code,B Month,BMonth::VMonth,R Month,RMonth::VMonth,B Day,BDay::VRDay,R Day,RDay::VRDay,B Year,R Year,Hunt. Season Surv.,B Flyway,Region::Flyway,R Flyway,RFly::Flyway,B Region,BRegion::STA,BRegion::State,R Region,RRegion::STA,RRegion::State,B Lat,B Long,B Dir,R Lat,R Long,R Dir,GISBLat,GISBLong,GISRLat,GISRLong,B Coordinate Precision,B Coord Precision::LOCATION_ACCURACY_DESC,R Coordinate Precision,R Coord Precision::LOCATION_ACCURACY_DESC,Status,Status::VStatus,How Obt,How Obt::VHow,Add Info,AI::VAI,Who Reported,Who::VWho,Pres. Cond.,Age,Age::VAGE,Condition::VCondition,Sex,Sex::VSEX,Condition::VBandStatus,Permit,Permits::Permittee,"Why (pre 1994), Report Method (after 1994)",Rept Mthd::VRept Mthd,Band Type Orig,BType::VBtype,BType::VText,R Create date Year,R Create date Month,Band Type Current,BType Current::VBtype,BType Current::VText,Marker_Desc_enc,Marker_Desc_bndg,other_bands
49587042,2280,AMWO,American Woodcock,Original Band,0,4,April,10,October,20,,23,,1962,1962,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,424,842,0,424,842,0,42.75,-84.41667,42.75,-84.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,4,Local,Dead,0,Unknown,Band status unknown,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,0,Unknown,11,Aluminum butt-end,old address,1963,3,11,Aluminum butt-end,old address,,,
51364388,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,7,,99,Unknown day,1994,1994,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,431,842,0,431,841,0,43.25,-84.41667,43.25,-84.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,4,Local,Dead,0,Unknown,Band status unknown,3110,MICHIGAN DEPARTMENT NATURAL RES MR DONALD AVERS,1,Paper,11,Aluminum butt-end,old address,1996,1,11,Aluminum butt-end,old address,,,
52339152,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,23,,31,,1964,1964,1,2,Mississippi,2,Mississippi,49,MI,Michigan,49,MI,Michigan,430,823,0,430,823,0,43.08333,-82.58333,43.08333,-82.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,1,After Hatch Year,Dead,0,Unknown,Band status unknown,6300,,0,Unknown,11,Aluminum butt-end,old address,1965,4,11,Aluminum butt-end,old address,,,
52394772,2280,AMWO,American Woodcock,Original Band,0,12,December,10,October,21,,24,,1962,1963,2,2,Mississippi,2,Mississippi,42,LA,Louisiana,49,MI,Michigan,302,914,0,444,851,0,30.41667,-91.75,44.75,-85.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,6669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,0,Unknown,11,Aluminum butt-end,old address,1963,12,11,Aluminum butt-end,old address,,,
52393959,2280,AMWO,American Woodcock,Original Band,0,12,December,10,October,17,,27,,1964,1966,3,2,Mississippi,6,Canada,42,LA,Louisiana,68,ONT,Ontario,304,914,0,423,803,0,30.75,-91.75,42.58333,-80.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,2,Hatch Year,Dead,4,Male,Band removed,8810,LOUISIANA COOP FISH&W/L RES UNIT ALAN AFTON,1,Paper,11,Aluminum butt-end,old address,1967,4,11,Aluminum butt-end,old address,,,
52393989,2280,AMWO,American Woodcock,Original Band,0,12,December,2,February,17,,27,,1964,1965,1,2,Mississippi,1,Atlantic,42,LA,Louisiana,27,GA,Georgia,304,914,0,345,850,0,30.75,-91.75,34.91667,-85.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,8810,LOUISIANA COOP FISH&W/L RES UNIT ALAN AFTON,0,Unknown,11,Aluminum butt-end,old address,1965,9,11,Aluminum butt-end,old address,,,
52394731,2280,AMWO,American Woodcock,Original Band,0,12,December,94,Hunting Season,21,,99,Unknown day,1962,1963,2,2,Mississippi,2,Mississippi,42,LA,Louisiana,49,MI,Michigan,302,914,0,434,832,0,30.41667,-91.75,43.75,-83.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,2,Hatch Year,Dead,5,Female,Band status unknown,6669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,0,Unknown,11,Aluminum butt-end,old address,1963,12,11,Aluminum butt-end,old address,,,
52394929,2280,AMWO,American Woodcock,Original Band,0,12,December,12,December,21,,23,,1962,1962,1,2,Mississippi,2,Mississippi,42,LA,Louisiana,42,LA,Louisiana,302,914,0,301,920,0,30.41667,-91.75,30.25,-92.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,2,Hatch Year,Dead,5,Female,Band status unknown,6669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,0,Unknown,11,Aluminum butt-end,old address,1963,5,11,Aluminum butt-end,old address,,,
52394952,2280,AMWO,American Woodcock,Original Band,0,12,December,3,March,21,,11,,1962,1963,1,2,Mississippi,2,Mississippi,42,LA,Louisiana,66,OH,Ohio,302,914,0,394,841,0,30.41667,-91.75,39.75,-84.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",0,Found dead.,0,Federal numbered metal band only.,21,Finder,3,1,After Hatch Year,Dead,4,Male,Band status unknown,6669,LA DEPT OF WILDLIFE & FISHERIES MR LARRY A REYNOLDS,0,Unknown,11,Aluminum butt-end,old address,1963,5,11,Aluminum butt-end,old address,,,
54324902,2280,AMWO,American Woodcock,Original Band,0,4,April,1,January,2,,11,,1967,1970,3,6,Canada,2,Mississippi,68,ONT,Ontario,42,LA,Louisiana,440,795,0,303,901,0,44.08333,-79.91667,30.58333,-90.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,5,0,Unknown,Dead,4,Male,Band removed,10091,OMNR - MAPLE,1,Paper,11,Aluminum butt-end,old address,1970,4,11,Aluminum butt-end,old address,,,
54380099,2280,AMWO,American Woodcock,Original Band,0,8,August,7,July,20,,31,,1963,1967,4,1,Atlantic,1,Atlantic,44,ME,Maine,44,ME,Maine,444,682,0,444,683,0,44.75,-68.41667,44.75,-68.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",66,Previously banded bird trapped and released during banding operations,0,Federal numbered metal band only.,23,Bird Banders,7,1,After Hatch Year,Alive-Released,4,Male,Band left on bird,5082,,1,Paper,11,Aluminum butt-end,old address,1967,12,11,Aluminum butt-end,old address,,,
54380145,2280,AMWO,American Woodcock,Original Band,0,4,April,10,October,21,,23,,1962,1963,2,1,Atlantic,1,Atlantic,44,ME,Maine,44,ME,Maine,450,683,0,450,683,0,45.08333,-68.58333,45.08333,-68.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,1,After Hatch Year,Dead,4,Male,Band status unknown,5082,,0,Unknown,11,Aluminum butt-end,old address,1964,1,11,Aluminum butt-end,old address,,,
54380153,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,16,,27,,1962,1964,3,1,Atlantic,1,Atlantic,44,ME,Maine,47,MA,Massachusetts,450,683,0,422,723,0,45.08333,-68.58333,42.41667,-72.58333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,1,After Hatch Year,Dead,4,Male,Band status unknown,5082,,0,Unknown,11,Aluminum butt-end,old address,1965,3,11,Aluminum butt-end,old address,,,
54310124,2280,AMWO,American Woodcock,Original Band,0,10,October,11,November,15,,29,,1970,1972,3,6,Canada,1,Atlantic,68,ONT,Ontario,27,GA,Georgia,430,790,0,333,844,0,43.08333,-79.08333,33.58333,-84.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,0,Unknown,Dead,5,Female,Band removed,10093,,0,Unknown,11,Aluminum butt-end,old address,1973,2,11,Aluminum butt-end,old address,,,
54316813,2280,AMWO,American Woodcock,Original Band,0,5,May,11,November,7,,7,,1964,1964,1,6,Canada,1,Atlantic,56,NB,New Brunswick,58,NH,New Hampshire,460,663,0,430,711,0,46.08333,-66.58333,43.08333,-71.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,1,After Hatch Year,Dead,4,Male,Band status unknown,476,NORTHEASTERN WLDLF STN,0,Unknown,11,Aluminum butt-end,old address,1965,4,11,Aluminum butt-end,old address,,,
54348822,2280,AMWO,American Woodcock,Original Band,0,7,July,10,October,13,,18,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348828,2280,AMWO,American Woodcock,Original Band,0,7,July,11,November,22,,2,,1965,1968,4,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1969,4,11,Aluminum butt-end,old address,,,
54348830,2280,AMWO,American Woodcock,Original Band,0,7,July,11,November,23,,4,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,2,11,Aluminum butt-end,old address,,,
54348834,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,12,,18,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348837,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,15,,19,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,1,11,Aluminum butt-end,old address,,,
54348838,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,15,,26,,1965,1967,3,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,20,Miscellaneous,5,5,Second Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1968,7,11,Aluminum butt-end,old address,,,
54348841,2280,AMWO,American Woodcock,Original Band,0,8,August,11,November,17,,25,,1965,1965,1,1,Atlantic,2,Mississippi,90,WV,West Virginia,2,AL,Alabama,390,792,0,334,864,0,39.08333,-79.41667,33.75,-86.75,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",0,Found dead.,0,Federal numbered metal band only.,21,Finder,5,2,Hatch Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,2,11,Aluminum butt-end,old address,,,
54348848,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,30,,18,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348855,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,14,,18,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1966,1,11,Aluminum butt-end,old address,,,
54348857,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,16,,19,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,1,After Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348859,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,21,,30,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348860,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,24,,18,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,5,Female,Band status unknown,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1966,1,11,Aluminum butt-end,old address,,,
54348862,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,25,,25,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,1,After Hatch Year,Dead,4,Male,Band status unknown,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348863,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,28,,19,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,1,After Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1966,1,11,Aluminum butt-end,old address,,,
54348869,2280,AMWO,American Woodcock,Original Band,0,10,October,10,October,4,,23,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,2,Check station report (discontinued),11,Aluminum butt-end,old address,1966,11,11,Aluminum butt-end,old address,,,
54348871,2280,AMWO,American Woodcock,Original Band,0,10,October,10,October,5,,29,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,0,Unknown,Dead,0,Unknown,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,2,11,Aluminum butt-end,old address,,,
54348875,2280,AMWO,American Woodcock,Original Band,0,10,October,10,October,13,,19,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,1,After Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,1,11,Aluminum butt-end,old address,,,
54348886,2280,AMWO,American Woodcock,Original Band,0,7,July,10,October,30,,25,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,4,Male,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
54348890,2280,AMWO,American Woodcock,Original Band,0,8,August,10,October,2,,19,,1965,1965,1,1,Atlantic,1,Atlantic,90,WV,West Virginia,90,WV,West Virginia,390,792,0,390,792,0,39.08333,-79.41667,39.08333,-79.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",5,2,Hatch Year,Dead,5,Female,Band removed,2216,WEST VIRGINIA DIV NATURAL RES MICHAEL PETERS,1,Paper,11,Aluminum butt-end,old address,1966,4,11,Aluminum butt-end,old address,,,
55339079,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,1,,17,,1960,1960,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,404,775,0,404,775,0,40.75,-77.91667,40.75,-77.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,0,Unknown,Dead,5,Female,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1961,7,11,Aluminum butt-end,old address,,,
55339081,2280,AMWO,American Woodcock,Original Band,0,9,September,10,October,3,,14,,1960,1961,2,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,404,775,0,413,770,0,40.75,-77.91667,41.58333,-77.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",0,Found dead.,0,Federal numbered metal band only.,21,Finder,3,0,Unknown,Dead,4,Male,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1962,2,11,Aluminum butt-end,old address,,,
55339084,2280,AMWO,American Woodcock,Original Band,0,4,April,11,November,27,,1,,1961,1961,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,410,755,0,410,755,0,41.08333,-75.91667,41.08333,-75.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,23,Bird Banders,3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1962,4,11,Aluminum butt-end,old address,,,
55339147,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,9,,13,,1962,1962,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,404,780,0,404,780,0,40.75,-78.08333,40.75,-78.08333,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1963,3,11,Aluminum butt-end,old address,,,
55339177,2280,AMWO,American Woodcock,Original Band,0,5,May,11,November,2,,2,,1961,1961,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,410,755,0,410,755,0,41.08333,-75.91667,41.08333,-75.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,23,Bird Banders,3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1962,4,11,Aluminum butt-end,old address,,,
55339185,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,13,,21,,1961,1961,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,410,755,0,410,755,0,41.08333,-75.91667,41.08333,-75.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,23,Bird Banders,3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1962,4,11,Aluminum butt-end,old address,,,
55339186,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,3,,13,,1962,1962,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,410,755,0,410,755,0,41.08333,-75.91667,41.08333,-75.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1963,3,11,Aluminum butt-end,old address,,,
55339198,2280,AMWO,American Woodcock,Original Band,0,5,May,11,November,10,,1,,1962,1962,1,1,Atlantic,1,Atlantic,72,PA,Pennsylvania,72,PA,Pennsylvania,410,755,0,410,755,0,41.08333,-75.91667,41.08333,-75.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,21,Finder,3,4,Local,Dead,0,Unknown,Band status unknown,6778,PENNSYLVANIA GAME COMMISSION MR KEVIN J  JACOBS,0,Unknown,11,Aluminum butt-end,old address,1962,12,11,Aluminum butt-end,old address,,,
55355917,2280,AMWO,American Woodcock,Original Band,0,5,May,6,June,7,,30,,1962,1964,2,1,Atlantic,1,Atlantic,44,ME,Maine,44,ME,Maine,450,671,0,450,671,0,45.08333,-67.25,45.08333,-67.25,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",66,Previously banded bird trapped and released during banding operations,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",7,1,After Hatch Year,Alive-Released,4,Male,Band left on bird,6245,"MOOSEHORN NWR MR MAURICE MILLS, JR.",1,Paper,11,Aluminum butt-end,old address,1966,2,11,Aluminum butt-end,old address,,,
55355920,2280,AMWO,American Woodcock,Original Band,0,5,May,10,October,11,,99,Unknown day,1962,1962,1,1,Atlantic,1,Atlantic,44,ME,Maine,44,ME,Maine,450,671,0,451,672,0,45.08333,-67.25,45.25,-67.41667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,1,After Hatch Year,Dead,4,Male,Band status unknown,6245,"MOOSEHORN NWR MR MAURICE MILLS, JR.",0,Unknown,11,Aluminum butt-end,old address,1963,4,11,Aluminum butt-end,old address,,,
55355937,2280,AMWO,American Woodcock,Original Band,0,8,August,11,November,14,,22,,1962,1962,1,1,Atlantic,1,Atlantic,44,ME,Maine,88,VA,Virginia,450,671,0,370,775,0,45.08333,-67.25,37.08333,-77.91667,10,10 minute block,10,10 minute block,3,"Normal, wild bird: released in same 10-minute block as captured",1,Shot.,0,Federal numbered metal band only.,22,"State, Provincial, or Federal Official",3,2,Hatch Year,Dead,4,Male,Band status unknown,6245,"MOOSEHORN NWR MR MAURICE MILLS, JR.",0,Unknown,11,Aluminum butt-end,old address,1963,4,11,Aluminum butt-end,old address,,,
